sujeto,grupo,canal,condicion,var_baseline,var_senal,snr,metodo
co2c0000340,control,P8,S1 obj,0.2788448541067133,34.32420412868481,123.09427132389905,ponderado
co2c0000340,control,P8,S2 match,0.7689818171384497,36.42448212942538,47.367156566807886,ponderado
co2c0000340,control,P8,S2 nomatch,3.368348352004847,26.924856459103278,7.993489284764016,ponderado
co2c0000340,control,PO8,S1 obj,1.4201850169786883,48.592254077302925,34.21543918318363,ponderado
co2c0000340,control,PO8,S2 match,0.5201437647368362,34.00670235295413,65.37942903181705,ponderado
co2c0000340,control,PO8,S2 nomatch,1.3186608920914653,40.97883301963043,31.076096413715472,ponderado
co2c0000340,control,T8,S1 obj,0.03360353291689425,5.253001122236615,156.32288233585274,ponderado
co2c0000340,control,T8,S2 match,3.452080064700556,22.83782007426494,6.615669291044083,ponderado
co2c0000340,control,T8,S2 nomatch,2.5777387722931033,13.380139712618458,5.19064998223841,ponderado
co2c0000340,control,TP8,S1 obj,0.2642017265700152,11.248184009637292,42.57422597371425,ponderado
co2c0000340,control,TP8,S2 match,1.618467711668055,27.70622510904364,17.118800028755928,ponderado
co2c0000340,control,TP8,S2 nomatch,2.330331301758703,7.816647399640833,3.3543073440851963,ponderado
co2c0000341,control,P8,S1 obj,0.7062402725882923,38.551458392503214,54.58688762001124,ponderado
co2c0000341,control,P8,S2 match,0.5587530209493405,23.323703004805378,41.74241951332559,ponderado
co2c0000341,control,P8,S2 nomatch,0.07009461499814042,15.724533091940318,224.33296897853685,ponderado
co2c0000341,control,PO8,S1 obj,0.37353359658880486,34.51517028960588,92.40178287791618,ponderado
co2c0000341,control,PO8,S2 match,0.3491651558948824,20.1443899827324,57.69301329940537,ponderado
co2c0000341,control,PO8,S2 nomatch,0.13612740901244616,18.097882755825182,132.94811740793867,ponderado
co2c0000341,control,T8,S1 obj,0.4272531567153834,18.52617864546503,43.3611275991258,ponderado
co2c0000341,control,T8,S2 match,0.010671563885373783,14.12782037723084,1323.8753503218145,ponderado
co2c0000341,control,T8,S2 nomatch,0.04181138127824009,3.4887424917187393,83.44002003909846,ponderado
co2c0000341,control,TP8,S1 obj,1.001218091357812,21.599328005521304,21.57305005968196,ponderado
co2c0000341,control,TP8,S2 match,0.06815134857539391,15.175861112918376,222.6788087124901,ponderado
co2c0000341,control,TP8,S2 nomatch,0.08059293277055349,8.506181958218734,105.54501078197103,ponderado
co2c0000342,control,P8,S1 obj,0.030959428865736376,25.06687503925285,809.6685228904538,ponderado
co2c0000342,control,P8,S2 match,0.091860282171159,19.10164144436719,207.9423336494437,ponderado
co2c0000342,control,P8,S2 nomatch,0.9992270205098015,9.422446249675442,9.429735241615212,ponderado
co2c0000342,control,PO8,S1 obj,0.15640859346596225,33.04461443038611,211.27109257956025,ponderado
co2c0000342,control,PO8,S2 match,0.026329418407022753,10.390080669115841,394.6186926158814,ponderado
co2c0000342,control,PO8,S2 nomatch,1.9939678957019795,8.464911521768089,4.245259685481548,ponderado
co2c0000342,control,T8,S1 obj,0.017248956461544684,13.676696735980503,792.8999511635224,ponderado
co2c0000342,control,T8,S2 match,0.13466124879767094,17.119565852982216,127.13060368766097,ponderado
co2c0000342,control,T8,S2 nomatch,0.13224114245208193,12.443925456981383,94.10025674491193,ponderado
co2c0000342,control,TP8,S1 obj,0.019138459753729842,16.939610384941734,885.1083422029518,ponderado
co2c0000342,control,TP8,S2 match,0.08885846715724147,15.590523542212372,175.45343782066166,ponderado
co2c0000342,control,TP8,S2 nomatch,0.39120725510125715,9.026101139409036,23.072427777631034,ponderado
co2c0000344,control,P8,S1 obj,0.11172182425674586,6.878073941130172,61.56428242098694,ponderado
co2c0000344,control,P8,S2 match,0.843100673499828,71.82634563440119,85.1930829757733,ponderado
co2c0000344,control,P8,S2 nomatch,2.239123336009894,19.569578910157006,8.739839648596533,ponderado
co2c0000344,control,PO8,S1 obj,0.2011601715078181,9.830064301104738,48.86685185950287,ponderado
co2c0000344,control,PO8,S2 match,1.2927194139907523,81.09034485142402,62.72849620250548,ponderado
co2c0000344,control,PO8,S2 nomatch,1.260126309492387,22.3746518191496,17.755880224548854,ponderado
co2c0000344,control,T8,S1 obj,0.334370698008983,5.147271355180974,15.393906780200851,ponderado
co2c0000344,control,T8,S2 match,0.976083630621336,64.92778944049437,66.51867463361097,ponderado
co2c0000344,control,T8,S2 nomatch,5.303733688990393,31.402664762687536,5.9208600212853595,ponderado
co2c0000344,control,TP8,S1 obj,0.13486883708981467,6.287194171956875,46.61710078933931,ponderado
co2c0000344,control,TP8,S2 match,0.8783857129676594,67.20802187287171,76.51310908257702,ponderado
co2c0000344,control,TP8,S2 nomatch,2.6281976789150763,24.46825490377262,9.309898985175709,ponderado
co2c0000345,control,P8,S1 obj,2.303490532635569,127.609012371008,55.39810585850443,ponderado
co2c0000345,control,P8,S2 match,2.962507926487816,16.84552516230497,5.6862380052012504,ponderado
co2c0000345,control,P8,S2 nomatch,0.6551000040126214,35.75004613469179,54.57189118564411,ponderado
co2c0000345,control,PO8,S1 obj,1.0772838691380848,128.6229364334896,119.39558376233597,ponderado
co2c0000345,control,PO8,S2 match,5.393238571876412,14.80150070234387,2.7444550255068987,ponderado
co2c0000345,control,PO8,S2 nomatch,0.2663578849982588,33.067201258318946,124.14575697105835,ponderado
co2c0000345,control,T8,S1 obj,2.3892561391020246,25.455793452695858,10.654275628339763,ponderado
co2c0000345,control,T8,S2 match,0.1648535174540122,26.459424640452646,160.50263924658938,ponderado
co2c0000345,control,T8,S2 nomatch,2.107574533194129,31.26598485103563,14.83505534850554,ponderado
co2c0000345,control,TP8,S1 obj,4.462592693012717,62.01664455858713,13.896998633930762,ponderado
co2c0000345,control,TP8,S2 match,1.9936337166022307,17.232993246954152,8.644011737684949,ponderado
co2c0000345,control,TP8,S2 nomatch,1.3369871944948721,22.14847696373318,16.56596043322697,ponderado
co2c0000346,control,P8,S1 obj,2.0554442385619613,16.423433106805977,7.990210971763559,ponderado
co2c0000346,control,P8,S2 match,0.701707257891053,47.46811502500754,67.64660688799293,ponderado
co2c0000346,control,P8,S2 nomatch,0.0483859275823522,56.20663033277938,1161.6317623986117,ponderado
co2c0000346,control,PO8,S1 obj,3.724198777189745,16.999246890592435,4.564538014112112,ponderado
co2c0000346,control,PO8,S2 match,2.132343219622424,38.84886320211051,18.218860286942697,ponderado
